,Fecha,Delegacion,Combustible,Precio
174,31-07-2023,miguel-hidalgo,Magna,22.47
175,31-07-2023,miguel-hidalgo,Premium,24.92
176,31-07-2023,miguel-hidalgo,Diesel,23.99
177,31-07-2023,milpa-alta,Magna,22.89
178,31-07-2023,milpa-alta,Premium,24.89
179,31-07-2023,milpa-alta,Diesel,
180,31-07-2023,tlahuac,Magna,22.02
181,31-07-2023,tlahuac,Premium,24.0
182,31-07-2023,tlahuac,Diesel,22.85
183,31-07-2023,tlalpan,Magna,22.06
184,31-07-2023,tlalpan,Premium,24.36
185,31-07-2023,tlalpan,Diesel,23.74
186,31-07-2023,venustiano-carranza,Magna,21.99
187,31-07-2023,venustiano-carranza,Premium,24.83
188,31-07-2023,venustiano-carranza,Diesel,23.97
189,31-07-2023,xochimilco,Magna,22.78
190,31-07-2023,xochimilco,Premium,24.84
191,31-07-2023,xochimilco,Diesel,23.62
192,01-08-2023,alvaro-obregon,Magna,23.11
193,01-08-2023,alvaro-obregon,Premium,25.59
194,01-08-2023,alvaro-obregon,Diesel,23.19
195,01-08-2023,azcapotzalco,Magna,22.17
196,01-08-2023,azcapotzalco,Premium,24.98
197,01-08-2023,azcapotzalco,Diesel,23.58
198,01-08-2023,benito-juarez,Magna,21.89
199,01-08-2023,benito-juarez,Premium,24.4
200,01-08-2023,benito-juarez,Diesel,23.24
201,01-08-2023,coyoacan,Magna,22.46
202,01-08-2023,coyoacan,Premium,24.82
203,01-08-2023,coyoacan,Diesel,23.88
204,01-08-2023,cuajimalpa-de-morelos,Magna,22.56
205,01-08-2023,cuajimalpa-de-morelos,Premium,24.97
206,01-08-2023,cuajimalpa-de-morelos,Diesel,23.28
207,01-08-2023,cuauhtemoc,Magna,22.46
208,01-08-2023,cuauhtemoc,Premium,24.99
209,01-08-2023,cuauhtemoc,Diesel,23.93
210,01-08-2023,gustavo-a-madero,Magna,22.26
211,01-08-2023,gustavo-a-madero,Premium,24.58
212,01-08-2023,gustavo-a-madero,Diesel,23.34
213,01-08-2023,iztacalco,Magna,21.41
214,01-08-2023,iztacalco,Premium,23.66
215,01-08-2023,iztacalco,Diesel,22.37
216,01-08-2023,iztapalapa,Magna,22.18
217,01-08-2023,iztapalapa,Premium,24.72
218,01-08-2023,iztapalapa,Diesel,23.57
219,01-08-2023,la-magdalena-contreras,Magna,22.76
220,01-08-2023,la-magdalena-contreras,Premium,24.94
221,01-08-2023,la-magdalena-contreras,Diesel,22.95
222,01-08-2023,miguel-hidalgo,Magna,22.47
223,01-08-2023,miguel-hidalgo,Premium,24.92
224,01-08-2023,miguel-hidalgo,Diesel,23.99
225,01-08-2023,milpa-alta,Magna,22.89
226,01-08-2023,milpa-alta,Premium,24.89
227,01-08-2023,milpa-alta,Diesel,
228,01-08-2023,tlahuac,Magna,22.02
229,01-08-2023,tlahuac,Premium,24.0
230,01-08-2023,tlahuac,Diesel,22.85
231,01-08-2023,tlalpan,Magna,22.06
232,01-08-2023,tlalpan,Premium,24.36
233,01-08-2023,tlalpan,Diesel,23.74
234,01-08-2023,venustiano-carranza,Magna,21.99
235,01-08-2023,venustiano-carranza,Premium,24.83
236,01-08-2023,venustiano-carranza,Diesel,23.97
237,01-08-2023,xochimilco,Magna,22.78
238,01-08-2023,xochimilco,Premium,24.84
239,01-08-2023,xochimilco,Diesel,23.62
240,02-08-2023,alvaro-obregon,Magna,23.11
241,02-08-2023,alvaro-obregon,Premium,25.59
242,02-08-2023,alvaro-obregon,Diesel,23.19
243,02-08-2023,azcapotzalco,Magna,22.17
244,02-08-2023,azcapotzalco,Premium,24.98
245,02-08-2023,azcapotzalco,Diesel,23.58
246,02-08-2023,benito-juarez,Magna,21.89
247,02-08-2023,benito-juarez,Premium,24.40
248,02-08-2023,benito-juarez,Diesel,23.24
249,02-08-2023,coyoacan,Magna,22.46
250,02-08-2023,coyoacan,Premium,24.82
251,02-08-2023,coyoacan,Diesel,23.88
252,02-08-2023,cuajimalpa-de-morelos,Magna,22.56
253,02-08-2023,cuajimalpa-de-morelos,Premium,24.97
254,02-08-2023,cuajimalpa-de-morelos,Diesel,23.28
255,02-08-2023,cuauhtemoc,Magna,22.46
256,02-08-2023,cuauhtemoc,Premium,24.99
257,02-08-2023,cuauhtemoc,Diesel,23.93
258,02-08-2023,gustavo-a-madero,Magna,22.26
259,02-08-2023,gustavo-a-madero,Premium,24.58
260,02-08-2023,gustavo-a-madero,Diesel,23.34
261,02-08-2023,iztacalco,Magna,21.41
262,02-08-2023,iztacalco,Premium,23.66
263,02-08-2023,iztacalco,Diesel,22.37
264,02-08-2023,iztapalapa,Magna,22.18
265,02-08-2023,iztapalapa,Premium,24.72
266,02-08-2023,iztapalapa,Diesel,23.57
267,02-08-2023,la-magdalena-contreras,Magna,22.76
268,02-08-2023,la-magdalena-contreras,Premium,24.94
269,02-08-2023,la-magdalena-contreras,Diesel,22.95
270,02-08-2023,miguel-hidalgo,Magna,22.47
271,02-08-2023,miguel-hidalgo,Premium,24.92
272,02-08-2023,miguel-hidalgo,Diesel,23.99
273,02-08-2023,milpa-alta,Magna,22.89
274,02-08-2023,milpa-alta,Premium,24.89
275,02-08-2023,milpa-alta,Diesel,N/A
276,02-08-2023,tlahuac,Magna,22.02
277,02-08-2023,tlahuac,Premium,24.00
278,02-08-2023,tlahuac,Diesel,22.85
279,02-08-2023,tlalpan,Magna,22.06
280,02-08-2023,tlalpan,Premium,24.36
281,02-08-2023,tlalpan,Diesel,23.74
282,02-08-2023,venustiano-carranza,Magna,21.99
283,02-08-2023,venustiano-carranza,Premium,24.83
284,02-08-2023,venustiano-carranza,Diesel,23.97
285,02-08-2023,xochimilco,Magna,22.78
286,02-08-2023,xochimilco,Premium,24.84
287,02-08-2023,xochimilco,Diesel,23.62
